1," Long time no see. Like always I was rewriting it from scratch a couple of times. But nevertheless it's still java and now it uses metropolis sampling to help that poor path tracing converge.Btw. I did MLT on yesterday evening after 2 beers (it had to be Ballmer peak). Altough the implementation is still very fresh it easily outperforms standard path tracing, what is to be seen especially when difficult caustics are involved. I've implemented spectral rendering too, it was very easy actually, cause all computations on wavelengths are linear just like rgb. But then I realised that even if it does feel more physically correct to do so, whats the point? 3d applications are operating in rgb color space, and because I cant represent a rgb color as spectrum interchangeably I have to approximate it, so as long as I'm not running a physical simulation or something I don't see the benefits (please correct me if I'm wrong), thus I abandoned that."
1," Guest Demo: Eric Iverson_s Itty Bitty Search February 16th, 2010 by Daniel Tunkelang Respond I_m back from vacation, and still digging my way out of everything that_s piled up while I_ve been offline. While I catch up, I thought I_d share with you a demo that Eric Iverson was gracious enough to share with me. It uses Yahoo! BOSS to support an exploratory search experience on top of a general web search engine. When you perform a query, the application retrieves a set of related term candidates using Yahoo_s key terms API. It then scores each term by dividing its occurrence count within the result set by its global occurrence count_a relevance measure similar to one my former colleagues and I used at Endeca in enterprise contexts. You can try out the demo yourself at http://www.ittybittysearch.com/. While it has rough edges, it produces nice results_especially considering the simplicity of the approach. Here_s an example of how I used the application to explore and learn something new. I started with [""information retrieval""]. I noticed _interactive information retrieval_ as a top term, so I used it to refine. Most of the refinement suggestions looked familiar to me_but an unfamiliar name caught my attention: _Anton Leuski_. Following my curiosity, I refined again. Looking at the results, I immediately saw that Leuski had done work on evaluating document clustering for interactive information retrieval. Further exploration made it clear this is someone whose work I should get to know_check out his home page! I can_t promise that you_ll have as productive an experience as I did, but I encourage you to try Eric_s demo. It_s simple examples like these that remind me of the value of pursuing HCIR for the open web. Speaking of which, HCIR 2010 is in the works. We_ll flesh out the details over the next weeks, and of course I_ll share them here."
1," Yesterday I attended a biweekly meeting of an informal a UC Berkeley group devoted to Python in science (Py4Science), organized by Fernando Perez. The format (in honor of my visit) was a series of 4-minute lightning talks about various projects using Python in the scientific world (at Berkeley and elsewhere) followed by an hourlong Q&A session. This meant I didn't have to do a presentation and still got to interact with the audience for an hour -- my ideal format. I was blown away by the wide variety of Python use for scientific work. It looks like Python (with extensions like numpy) is becoming a standard tool for many sciences that need to process large amounts of data, from neuroimaging to astronomy. Here is a list of the topics presented (though not in the order presented). All these describing Python software; I've added names and affiliations insofar I managed to get them. (Thanks to Jarrod Millman for providing me with a complete list.) Most projects are easily found by Googling for them, so I have not included hyperlinks except in some cases where the slides emphasized them. (See also the blog comments.)"
0," Liam is nothing like Natalie. Natalie never went through draws or cabinets. She was always so good. LIAM is a bit more adventurous. And he always picks the cabinets that are the hardest to put back together. Hubby just started Nutrisystem and he has his own little section of the kitchen. Well, Liam doesn't like the order of it all and trashes my set up at least 10 times a day. YES, I need to buy one of those locks for the doors. We have one for the chemicals. But none on the food. My mistake for SURE! In the meantime, I better document it because before I know it this boy will be in college and I will be missing cleaning up after him. Yeah.. that's not me. But I still decided that I wanted to start doing Yoga. I've been thinking about it for quite some time. So, this weekend I bought a pair of work out shorts and a tank and off I went. The only class that was close to me was Birkham Yoga, the hot one. The 100 degree sweaty room one. I. Almost. Died.  The Yoga itself was wonderful. I will continue that for sure. But the HEAT of that room was unbearable. The best part is, the teacher specifically came up to me and said,"
1,"In the EU we have browser choice, but few know about it  The EU has been tougher on monopolies than the American antitrust authorities. This has been good for Europe and bad for America. In Europe we have an amazing choice of fixed line internet providers for example. In the USA, there is generally one DSL provider and one Cable provider per territory. As a result, we have more bandwidth for less money. This is surprising because, in general, there is more choice at a better price for a lot of goods and services in the USA, including cars, banking and financial services, gadgets, etc. But the problem with the USA is that sometimes lobbying is more influential than the common good. In Europe, our career public servants seem to be less immune to lobbying (although not always, and banking, for example, seems to be an exception and most countries protect their local banks).  But recently, the EU has given us more choice in Europe. This time is the freedom to choose our browser. But as this survey shows most Europeans, around three quarters of them, are not aware of this choice. It turns out that Spain is the country with the lowest browser choice awareness in Europe."
0,"Hmmm.. I really didn't wanna update my blog till my results were out. But Figured I might as well blog about something I've been wanting to for quite a while. But before i begin- heres wishin u a happy new year! I was waiting for a bus and Getting pretty restless, I started twirling my cellphone between my thumb and middle finger. I almost dropped my cellphone in shock as I heard a voice to my right yell, ""o*** dei! Cellphone vechirundha periya m***** nee?""  Completely nonplussed, I turned around to see a pretty decently dressed chap on a bike looking straight at me with a furious look on his face. I didn't quite get it. The person standing in front of me seemed startled too. Guess he felt the guy was looking at him. That only confused me further. I couldn't quite make out who he was staring at! (Random note to self: Fury adds a squint to ur eye!!) The-guy-in-front-of-me, let's jus call him X for my aching fingers' sake(!), was visibly offended. ""Excuse me?"" he said, his voice quavering lightly. He seemed guarded and didn't turn around to face the Biker dude (gotta make do with this name for the time being!) straight on. But nothing in the world could have prepared me for what followed next. My jaw almost hit the floor in bewilderment when the Biker dude retorted, ""Enna da English-la peela vudarae? English-la pesina nee periya p******-ya?""  I could feel every eye in the bus stop trained on the three of us. What was happening? Why was he picking up a fight for no reason? And all of a sudden, a silly thought crossed my mind. Silly, but every inch possible. Was this some show like Candid Camera or MTV Bakra? Did I actually have a camera zooming in on me? Am I on TV?!? I absently ran my fingers through my hair. I was feeling extremely self-conscious! I just wanted to get the hell outta the place! (Random notes of enlightenment: My brain goes off into tangents in the opposite direction just when I want it to stay focussed.)  Perhaps Mr. X was too numb with shock to have such crazy ideas floating around in his head. he Biker dude wasn't done with the expletives. He mouthed yet another string of well-chosen obscenities. Even passers-by stopped to gawk at the scene. I really wanted to get outta that place!!  Mr.X had had enough. He spluttered in indignation, pulled himself up to full height and started to approach the Biker dude. Aaah, now this was gonna get interesting! :)  But things took yet another crazy twist as the manic look on the Biker dude's face flickered off. To be replaced by a slight hint of confusion. And then, full-blooded horror!  Mr. X seemed puzzled at the reaction too. Things fell into place when the Biker dude slapped his forehead and exclaimed ""phone-a vei da naaye. unaala en maaname pochu!"".  And even as he revved up his bike, and fled the scene, face red with embarassment, I caught a glimpse of the ear-piece of his Hands-free mobile set peep out from under his collar! :)"
1,"The most common complaint and comment about an Automatic tranmission car, is that _You have less control over it, there is less involvement, compared to a manual transmission car_. Agreed, you can_t dictate the car to change to any gear that you please when you have an automatic transmission, but from my experience, I can tell you, if you know your know your car well enough, and if you are able to feel what it is doing, you can make even an automatic transmission car do whatever you please (well almost!). First of all it_s possible due to the fact that most engine management system of today_s cars are intelligent and are based on a feedback system. The car does n_t just do pre-programmed actions irrespective of anything anymore, but on the contrary, listens to the driver input, tries to gauge the intention of the driver and tries to act accordingly, producing wonderful results almost always. Next is your talent, how much you know your car and can undestand what it_s trying to tell you."
0,"How could God deal with all His billions and billions of children at a time?? We find it difficult to multitask few of our activities... How can God possibly be noting us evvvery millisecond.. and decide what we deserve .. the law of Karma as they call it.. Whom will he watch!! How many eyes could He have!! Then i started thinking- ok, if God can make such complicated human beings, each having different DNA.. and hence different characters , write unique algorithms for each individual.. how easily he would have made a dummy box called the computer!! the sooper computer.. artificial intelligence et al!! and servers with giga tera square memory .. He probabaly would have a random number generator (RNG) continuously stirring out numers.. and each of us would be assigned one. Then there would be an algo which randomly assigns each of us a time of birth ( that would be linked to another 2 numbers dad n mom immediatly - these three will be our primary key :) - )"
1,"I need a browser which:  - can classify my opened tabs more intelligently. Today, I open 20 tabs on my Safari, Camino, Firefox or Opera, they invariably get slow, making me spend time on closing them or opening them as seperate windows which leads into a MAC tiling nightmare. So I need something that classifies tabs by groups based on their content, allows me to tag them and remains light on the functioning.  - is more social and makes tweeting, plurking, flickring, facebooking all at ease, through a quick drag drop side widget. I remember a people browsr or a social browsr doing a good job. We need such aggregation built into the browser instead of installing multiple widgets that make it slow, or probably there are some and I am not aware?  - is intelligent enough to understand my reading pattern and suggest articles so that I do not get lost in the info. overload of news and intriguing columns, again a classical case of the information overloaded web world we live in.  There should be tons of more improvements in the central nervous system of the browser. Hit me with yours.  And developers out there who agree with me (or my directional sense of thinking), shall we put in some time and moolah and get one up?"
1,"I lost my identity yesterday. Along with that, I lost the right to drive (both in India and in the US). I also lost the right to spend money without having any (I believe that_s possible through the use of something called _Credit Cards_). If I ever happen to be jobless in the United States, I have also lost the right to social security. I lost my wallet. It could have been pickpocketed. It could have just dropped out of my back pocket. It could have been zapped out of existence by a recital of Vogon Poetry. My credit cards could have been used to purchase blood diamonds. Or worse still. Barbie dolls. Perhaps even Himesh Reshammiyya_s greatest hits CD. The horrific possibilities are endless. I would now need to pay a little more than the usual bribe to the cop who catches me using my cellphone while I am overtaking a water tanker from the wrong side of the road, at 80 kmph. All because my driving license is now possibly being used to create fake IDs for suicide bombers.  Perhaps I should not have written my ATM pin number on the backside of my debit card.  These are interesting times. To cancel my credit card, ABN Amro wanted me to reconfirm my waist size and the length (in millimetres) of my left hand_s index finger. Security, they say."
